Norsonic RTA840

Generated: Tue 23 Mar 2021 20:31:21 (sdf2txt, ver 1.09)
Title: No measurement title specified

Setup information
Measurement mode: Lvl-FFT-Sgl
Master Instrument Mode: Normal

Lower frequency: 0.00Hz
Upper frequency: 781.25Hz
Window 1: Hanning
Measurement start: Mon 15 Mar 2021 22:40:17
Number of averages: 20
Trigger condition: Manual

Channel 1:
Input: Line
Calibration: 0.0
Reference level (0dB): 2.00e-05
Fullscale: 95dB
High pass filter: 20Hz

"3CD09.SDF"
"Period = 0"
"              X[Hz]",     "Auto Pwr Spec",     
"             312.50",               -23.3,     
"             313.48",               -21.9,     
"             314.45",               -24.0,     
"             315.43",               -26.0,     
"             316.41",               -22.6,     
"             317.38",                -9.7,     
"             318.36",                -8.2,     
"             319.34",               -18.6,     
"             320.31",               -22.5,     
"             321.29",               -24.7,     
"             322.27",               -24.7,     
"             323.24",               -24.8,     
"             324.22",               -24.0,     
"             325.20",               -25.4,     
"             326.17",               -26.6,     
"             327.15",               -26.5,     
"             328.13",               -25.9,     
"             329.10",               -24.8,     
"             330.08",               -26.1,     
"             331.05",               -27.2,     
"             332.03",               -26.7,     
"             333.01",               -25.3,     
"             333.98",               -24.1,     
"             334.96",               -26.8,     
"             335.94",               -27.1,     
"             336.91",               -25.4,     
"             337.89",               -26.2,     
"             338.87",               -26.0,     
"             339.84",               -23.7,     
"             340.82",               -25.3,     
"             341.80",               -26.0,     
"             342.77",               -26.3,     
"             343.75",               -26.1,     
"             344.73",               -26.3,     
"             345.70",               -26.5,     
"             346.68",               -24.3,     
"             347.66",               -26.3,     
"             348.63",               -22.3,     
"             349.61",               -12.6,     
"             350.59",               -13.6,     
"             351.56",               -25.1,     
"             352.54",               -24.6,     
"             353.52",               -26.9,     
"             354.49",               -27.8,     
"             355.47",               -26.7,     
"             356.45",               -26.5,     
"             357.42",               -26.3,     
"             358.40",               -28.3,     
"             359.38",               -28.9,     
"             360.35",               -25.1,     
"             361.33",               -23.9,     
"             362.30",               -25.0,     
"             363.28",               -26.4,     
"             364.26",               -25.7,     
"             365.23",               -25.9,     
"             366.21",               -26.4,     
"             367.19",               -27.1,     
"             368.16",               -25.1,     
"             369.14",               -25.0,     
"             370.12",               -26.0,     
"             371.09",               -24.2,     
"             372.07",               -21.9,     
"             373.05",               -23.6,     
"             374.02",               -24.2,     
"             375.00",               -27.1,     
"             375.98",               -26.7,     
"             376.95",               -25.0,     
"             377.93",               -23.1,     
"             378.91",               -24.5,     
"             379.88",               -25.5,     
"             380.86",               -25.6,     
"             381.84",               -25.9,     
"             382.81",               -25.7,     
"             383.79",               -25.7,     
"             384.77",               -28.2,     
"             385.74",               -26.1,     
